0, 0.25, -2.69678e-09
0.02, 0.248, -5.02404e-07
0.04, 0.246, -5.01984e-07
0.06, 0.244, -5.01869e-07
0.08, 0.242, -5.01857e-07
0.1, 0.24, -5.01895e-07
0.12, 0.238, -5.01964e-07
0.14, 0.236, -5.02056e-07
0.16, 0.234, -5.02168e-07
0.18, 0.232, -5.02299e-07
0.2, 0.23, -5.02446e-07
0.22, 0.228, -5.02611e-07
0.24, 0.226, -5.02794e-07
0.26, 0.224, -5.02994e-07
0.28, 0.222, -5.03213e-07
0.3, 0.22, -5.03453e-07
0.32, 0.218, -5.03714e-07
0.34, 0.216, -5.03997e-07
0.36, 0.214, -5.04305e-07
0.38, 0.212, -5.04639e-07
0.4, 0.21, -5.05001e-07
0.42, 0.208, -5.05393e-07
0.44, 0.206, -5.05818e-07
0.46, 0.204, -5.06278e-07
0.48, 0.202, -5.06776e-07
0.5, 0.2, -5.07314e-07
0.52, 0.198, -5.07897e-07
0.54, 0.196, -5.08528e-07
0.56, 0.194, -5.0921e-07
0.58, 0.192, -5.09947e-07
0.6, 0.19, -5.10744e-07
0.62, 0.188, -5.11606e-07
0.64, 0.186, -5.12538e-07
0.66, 0.184, -5.13546e-07
0.68, 0.182, -5.14636e-07
0.7, 0.18, -5.15813e-07
0.72, 0.178, -5.17086e-07
0.74, 0.176, -5.18462e-07
0.76, 0.174, -5.19949e-07
0.78, 0.172, -5.21557e-07
0.8, 0.17, -5.23294e-07
0.82, 0.168, -5.25172e-07
0.84, 0.166, -5.27201e-07
0.86, 0.164, -5.29393e-07
0.88, 0.162, -5.31763e-07
0.9, 0.16, -5.34323e-07
0.92, 0.158, -5.3709e-07
0.94, 0.156, -5.4008e-07
0.96, 0.154, -5.4331e-07
0.98, 0.152, -5.468e-07
1, 0.15, -5.5057e-07
1.02, 0.148, -5.54643e-07
1.04, 0.146, -5.59043e-07
1.06, 0.144, -5.63796e-07
1.08, 0.142, -5.68929e-07
1.1, 0.14, -5.74474e-07
1.12, 0.138, -5.80462e-07
1.14, 0.136, -5.86929e-07
1.16, 0.134, -5.93912e-07
1.18, 0.132, -6.01452e-07
1.2, 0.13, -6.09592e-07
1.22, 0.128, -6.18379e-07
1.24, 0.126, -6.27864e-07
1.26, 0.124, -6.38101e-07
1.28, 0.122, -6.49148e-07
1.3, 0.12, -6.61068e-07
1.32, 0.118, -6.73927e-07
1.34, 0.116, -6.87798e-07
1.36, 0.114, -7.02758e-07
1.38, 0.112, -7.18889e-07
1.4, 0.11, -7.36279e-07
1.42, 0.108, -7.55023e-07
1.44, 0.106, -7.75222e-07
1.46, 0.104, -7.96982e-07
1.48, 0.102, -8.20419e-07
1.5, 0.1, -8.45654e-07
1.52, 0.098, -8.72817e-07
1.54, 0.096, -9.02046e-07
1.56, 0.094, -9.33486e-07
1.58, 0.092, -9.6729e-07
1.6, 0.09, -1.00362e-06
1.62, 0.088, -1.04266e-06
1.64, 0.086, -1.08457e-06
1.66, 0.084, -1.12955e-06
1.68, 0.082, -1.1778e-06
1.7, 0.08, -1.22952e-06
1.72, 0.078, -1.28493e-06
1.74, 0.076, -1.34425e-06
1.76, 0.074, -1.4077e-06
1.78, 0.072, -1.47553e-06
1.8, 0.07, -1.54797e-06
1.82, 0.068, -1.62527e-06
1.84, 0.066, -1.70766e-06
1.86, 0.064, -1.7954e-06
1.88, 0.062, -1.88872e-06
1.9, 0.06, -1.98787e-06
1.92, 0.058, -2.09307e-06
1.94, 0.056, -2.20453e-06
1.96, 0.054, -2.32247e-06
1.98, 0.052, -2.44706e-06
2, 0.05, -2.57847e-06
2.02, 0.048, -2.71681e-06
2.04, 0.046, -2.8622e-06
2.06, 0.044, -3.01468e-06
2.08, 0.042, -3.17427e-06
2.1, 0.04, -3.34093e-06
2.12, 0.038, -3.51457e-06
2.14, 0.036, -3.69504e-06
2.16, 0.034, -3.88211e-06
2.18, 0.032, -4.07549e-06
2.2, 0.03, -4.27482e-06
2.22, 0.028, -4.47966e-06
2.24, 0.026, -4.68948e-06
2.26, 0.024, -4.90368e-06
2.28, 0.022, -5.12158e-06
2.3, 0.02, -5.34244e-06
2.32, 0.018, -5.56541e-06
2.34, 0.016, -5.78962e-06
2.36, 0.014, -6.0141e-06
2.38, 0.012, -6.23784e-06
2.4, 0.01, -6.45981e-06
2.42, 0.008, -6.67893e-06
2.44, 0.006, -6.89414e-06
2.46, 0.004, -7.10435e-06
2.48, 0.002, -7.3085e-06
2.5, 0, -7.50555e-06
2.52, -0.002, -7.69453e-06
2.54, -0.004, -7.87451e-06
2.56, -0.006, -8.04465e-06
2.58, -0.008, -8.20418e-06
2.6, -0.01, -8.35246e-06
2.62, -0.012, -8.48891e-06
2.64, -0.014, -8.61311e-06
2.66, -0.016, -8.72471e-06
2.68, -0.018, -8.82353e-06
2.7, -0.02, -8.90945e-06
2.72, -0.022, -8.9825e-06
2.74, -0.024, -9.04281e-06
2.76, -0.026, -9.09061e-06
2.78, -0.028, -9.12623e-06
2.8, -0.03, -9.15006e-06
2.82, -0.032, -9.16259e-06
2.84, -0.034, -9.16435e-06
2.86, -0.036, -9.15593e-06
2.88, -0.038, -9.13796e-06
2.9, -0.04, -9.11109e-06
2.92, -0.042, -9.076e-06
2.94, -0.044, -9.03337e-06
2.96, -0.046, -8.98386e-06
2.98, -0.048, -8.92817e-06
3, -0.05, -8.86693e-06
3.02, -0.052, -8.80078e-06
3.04, -0.054, -8.73034e-06
3.06, -0.056, -8.65619e-06
3.08, -0.058, -8.57887e-06
3.1, -0.06, -8.49889e-06
