Ewe/V	<I>/mA	time/s	cycle number	(Q-Qo)/C	I Range	Rcmp/Ohm	
-1.0037803E-001	-1.631844206713140E-003	0.000000000000000E+000	1.000000000000000E+000	0.0000000E+000	14	0.0000000E+000
-1.0039714E-001	-1.348652680218221E-003	9.999999747378752E-001	1.000000000000000E+000	-1.3486526E-006	14	0.0000000E+000
-1.0037803E-001	-1.037893188174353E-003	1.999999949475750E+000	1.000000000000000E+000	-2.3865459E-006	14	0.0000000E+000
-1.0037803E-001	-8.779689354822037E-004	2.999999924213625E+000	1.000000000000000E+000	-3.2645148E-006	14	0.0000000E+000
-1.0055000E-001	-7.748738391208463E-004	3.999999898951501E+000	1.000000000000000E+000	-4.0393884E-006	14	0.0000000E+000
-1.0043535E-001	-7.003679273417229E-004	4.999999873689376E+000	1.000000000000000E+000	-4.7397566E-006	14	0.0000000E+000
-1.0033982E-001	-6.428148569655604E-004	5.999999848427251E+000	1.000000000000000E+000	-5.3825715E-006	14	0.0000000E+000
-1.0032071E-001	-5.965836682938971E-004	6.999999823165126E+000	1.000000000000000E+000	-5.9791550E-006	14	0.0000000E+000
-1.0028250E-001	-5.582516291528011E-004	7.999999797903001E+000	1.000000000000000E+000	-6.5374065E-006	14	0.0000000E+000
-1.0032071E-001	-5.257009876775557E-004	8.999999772640876E+000	1.000000000000000E+000	-7.0631077E-006	14	0.0000000E+000
-1.0035893E-001	-4.976586925098669E-004	9.999999747378752E+000	1.000000000000000E+000	-7.5607663E-006	14	0.0000000E+000
-1.0035893E-001	-4.745551942614851E-004	1.099999972211663E+001	1.000000000000000E+000	-8.0353211E-006	14	0.0000000E+000
-1.0037803E-001	-4.544983403058723E-004	1.199999969685450E+001	1.000000000000000E+000	-8.4898202E-006	14	0.0000000E+000
-1.0033982E-001	-4.346679204259999E-004	1.299999967159238E+001	1.000000000000000E+000	-8.9244877E-006	14	0.0000000E+000
-1.0035893E-001	-4.167888479540121E-004	1.399999964633025E+001	1.000000000000000E+000	-9.3412764E-006	14	0.0000000E+000
-1.0041624E-001	-4.005475886358252E-004	1.500039962105802E+001	1.000000000000000E+000	-9.7419843E-006	14	0.0000000E+000
-1.0009518E-001	-2.710892807652695E-004	1.500309962098981E+001	1.000000000000000E+000	-9.7427410E-006	14	0.0000000E+000
-9.9620827E-002	-2.341775398977198E-004	1.500809962086350E+001	1.000000000000000E+000	-9.7439806E-006	14	0.0000000E+000
-9.9140659E-002	-2.047453804029037E-004	1.501309962073719E+001	1.000000000000000E+000	-9.7450593E-006	14	0.0000000E+000
-9.8616891E-002	-1.893057095635996E-004	1.501809962061088E+001	1.000000000000000E+000	-9.7460315E-006	14	0.0000000E+000
-9.8088942E-002	-1.806102537438676E-004	1.502309962048457E+001	1.000000000000000E+000	-9.7469392E-006	14	0.0000000E+000
-9.7586773E-002	-1.616586347925318E-004	1.502809962035826E+001	1.000000000000000E+000	-9.7477796E-006	14	0.0000000E+000
-9.7071297E-002	-1.468102899059927E-004	1.503309962023195E+001	1.000000000000000E+000	-9.7485345E-006	14	0.0000000E+000
-9.6571200E-002	-1.361926719571625E-004	1.503809962010564E+001	1.000000000000000E+000	-9.7492275E-006	14	0.0000000E+000
-9.6084379E-002	-1.300453408273070E-004	1.504309961997933E+001	1.000000000000000E+000	-9.7498805E-006	14	0.0000000E+000
-9.5570989E-002	-1.189790112334777E-004	1.504809961985302E+001	1.000000000000000E+000	-9.7504890E-006	14	0.0000000E+000
-9.5071711E-002	-1.020755616410870E-004	1.505309961972671E+001	1.000000000000000E+000	-9.7510274E-006	14	0.0000000E+000
-9.4620623E-002	-1.003431192973785E-004	1.505809961960040E+001	1.000000000000000E+000	-9.7515176E-006	14	0.0000000E+000
-9.4088122E-002	-9.283863019998945E-005	1.506309961947409E+001	1.000000000000000E+000	-9.7519851E-006	14	0.0000000E+000
-9.3626224E-002	-8.446307953506767E-005	1.506809961934778E+001	1.000000000000000E+000	-9.7524098E-006	14	0.0000000E+000
